sku,name,price,cogs,weight_kg
LAPTOP-STAND-ALU,Alum. Laptop Stand,59.99,18,1.2
MECH-KEYBOARD-RGB,RGB Mech Keyboard,129.99,65,1.5
GAMER-CHAIR-PRO,Pro Gamer Chair,199.99,110,15
VR-HEADSET-LITE,VR Headset Lite,299.99,180,0.8
SMART-HUB-X,Smart Home Hub X,89.99,50,0.5
USB-C-CABLE-2M,USB-C Cable 2M,12.99,2.5,0.1
SCREEN-CLEAN-KIT,Screen Clean Kit,9.99,1.5,0.2
MOUSE-PAD-XL,XL Mouse Pad,24.99,8,0.4
GENERIC-GADGET-0,Generic Gadget 0,50.75,13.03,0.7
GENERIC-GADGET-1,Generic Gadget 1,65.5,5.69,0.5
GENERIC-GADGET-2,Generic Gadget 2,59.9,7.89,0.6
GENERIC-GADGET-3,Generic Gadget 3,59.05,18.93,0.9
GENERIC-GADGET-4,Generic Gadget 4,65.08,26.84,0.9
GENERIC-GADGET-5,Generic Gadget 5,76.53,7.26,0.9
GENERIC-GADGET-6,Generic Gadget 6,38.3,27.3,0.5
GENERIC-GADGET-7,Generic Gadget 7,33.15,22.98,0.7
GENERIC-GADGET-8,Generic Gadget 8,46.52,16.34,0.8
GENERIC-GADGET-9,Generic Gadget 9,44.07,24.92,0.4
GENERIC-GADGET-10,Generic Gadget 10,77.76,22.4,0.9
GENERIC-GADGET-11,Generic Gadget 11,66.71,21.48,0.5
